RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000001441	1721	2010	1028	1071	1018	506	923	1151	1328	612	765	940	872	1085	1132
ENSMUSG00000001444	15	12	17	4345	3778	3947	1242	1532	1306	2604	1850	1135	2511	3184	2694
ENSMUSG00000001445	1993	2237	1664	2618	2716	3320	2120	2809	1951	1826	1661	1389	2248	1820	2225
ENSMUSG00000001467	1508	2200	1471	913	927	1503	1616	1656	1426	399	444	562	1190	699	847
ENSMUSG00000001472	5781	5128	4718	5679	5223	4711	3414	4676	3976	5388	4934	2759	6506	5499	5824
ENSMUSG00000001473	48	71	21	100	131	75	1003	1305	775	282	1747	1181	2296	131	1340
ENSMUSG00000001482	599	778	588	554	733	853	667	739	572	852	854	622	1716	842	886
ENSMUSG00000001493	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ENSMUSG00000001494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001497	1	0	0	1	1	0	1	0	0	5	6	4	11	10	12
ENSMUSG00000001504	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000001506	10	19	15	1	4	1	15	27	40	10	4	3	35	14	32
ENSMUSG00000001507	11	10	5	5	17	6	97	80	119	63	89	71	94	92	88
ENSMUSG00000001508	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000001510	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000001517	42	19	3	183	245	377	397	418	468	56	89	64	185	133	202
ENSMUSG00000001518	1209	1791	905	831	868	735	621	778	724	806	655	690	1067	853	967
ENSMUSG00000001520	113	138	46	23	37	36	19	33	49	38	30	34	94	26	48
ENSMUSG00000001521	295	516	260	66	51	36	30	28	58	28	16	30	23	25	34
ENSMUSG00000001524	989	1367	945	919	985	1182	1428	1744	1334	907	769	624	1295	807	968
ENSMUSG00000001525	89618	84897	72204	45878	49571	89133	79076	88065	71926	21635	22972	35408	53647	27542	42002
ENSMUSG00000001542	45	10	7	81	91	28	79	92	160	121	105	202	158	134	268
ENSMUSG00000001552	395	277	245	335	199	151	35	61	31	26	177	63	180	92	168
ENSMUSG00000001555	6	1	5	209	192	184	2	8	1	11	5	0	2	6	3
ENSMUSG00000001558	24	42	17	17	14	47	10	22	17	23	18	19	26	22	40
ENSMUSG00000001566	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000001569	1284	1310	952	1066	1062	606	830	1041	1059	725	773	519	916	931	948
ENSMUSG00000001576	785	408	632	624	692	777	1411	1846	1543	1468	1662	1453	1870	2176	2545
ENSMUSG00000001583	13	6	1	0	1	1	0	1	0	0	13	0	0	0	2
ENSMUSG00000001588	10787	16770	10354	9044	9764	9737	5446	7095	5964	8667	5765	3779	10578	8430	9516
